"COUNTRY","COUNTRY_GRP","EXPOSURE_NOISE","SEX","YEAR","VALUE"
"AUT","","ROAD","ALL","2011","45.5861187722668"
"AUT","","ROAD","ALL","2012","39.4693357254143"
"AUT","","RAIL","ALL","2011","15.733482017"
"AUT","","RAIL","ALL","2012","13.307189553"
"BEL","","ROAD","ALL","2012","23.1479504240944"
"BEL","","RAIL","ALL","2012","4.1000059792"
"BGR","","ROAD","ALL","2011","75.5758157389635"
"BGR","","ROAD","ALL","2012","68.388980823518"
"BGR","","RAIL","ALL","2011","1.084452975"
"BGR","","RAIL","ALL","2012","0.9072325513"
"CZE","","ROAD","ALL","2011","47.1301245847848"
"CZE","","RAIL","ALL","2011","8.9316793986"
"DNK","","ROAD","ALL","2011","45.6558372849473"
"DNK","","ROAD","ALL","2012","32.0308788598575"
"DNK","","RAIL","ALL","2011","1.8195152811"
"DNK","","RAIL","ALL","2012","1.0688836105"
"EST","","ROAD","ALL","2011","9.0242807997208"
"EST","","ROAD","ALL","2012","45.5918703652843"
"EST","","RAIL","ALL","2011","4.3625666849"
"EST","","RAIL","ALL","2012","1.451720485"
"FIN","","ROAD","ALL","2011","28.9175528832868"
"FIN","","ROAD","ALL","2012","42.8118808960815"
"FIN","","RAIL","ALL","2011","9.1102771414"
"FIN","","RAIL","ALL","2012","5.6595008333"
"FRA","","ROAD","ALL","2011","25.4674161092292"
"FRA","","ROAD","ALL","2012","35.6554600877037"
"FRA","","RAIL","ALL","2011","12.3374376652"
"FRA","","RAIL","ALL","2012","11.8753978358"
"DEU","","ROAD","ALL","2011","16.0405309803813"
"DEU","","ROAD","ALL","2012","15.2440054066134"
"DEU","","RAIL","ALL","2011","10.9226941531"
"DEU","","RAIL","ALL","2012","1.8500857639"
"HUN","","ROAD","ALL","2011","50.0912731269641"
"HUN","","RAIL","ALL","2011","8.4591062497"
"ISL","","ROAD","ALL","2012","19.1666666666667"
"IRL","","ROAD","ALL","2011","82.9043478260869"
"IRL","","ROAD","ALL","2012","36.3293827498801"
"IRL","","RAIL","ALL","2011","1.1043478261"
"IRL","","RAIL","ALL","2012","0.9385490169"
"ITA","","ROAD","ALL","2011","22.5355626035748"
"ITA","","RAIL","ALL","2011","3.3566504105"
"LVA","","ROAD","ALL","2011","62.2929814756757"
"LVA","","RAIL","ALL","2011","4.9566724866"
"LTU","","ROAD","ALL","2011","36.6083612853984"
"LTU","","ROAD","ALL","2012","43.1425777311611"
"LTU","","RAIL","ALL","2011","1.3292640701"
"LTU","","RAIL","ALL","2012","0.7332564477"
"LUX","","ROAD","ALL","2012","68.3923705722071"
"LUX","","RAIL","ALL","2012","0.8174386921"
"MLT","","ROAD","ALL","2012","15.1849602228115"
"NLD","","ROAD","ALL","2011","21.0104974891859"
"NLD","","ROAD","ALL","2012","26.3566344923528"
"NLD","","RAIL","ALL","2011","3.042144949"
"NLD","","RAIL","ALL","2012",""
"NOR","","ROAD","ALL","2011","29.3509965969859"
"NOR","","ROAD","ALL","2012","32.22381866027"
"NOR","","RAIL","ALL","2011","5.4569761789"
"NOR","","RAIL","ALL","2012","4.9006935419"
"POL","","ROAD","ALL","2011","38.2737080441262"
"POL","","ROAD","ALL","2012","37.3686589580505"
"POL","","RAIL","ALL","2011","4.5391274803"
"POL","","RAIL","ALL","2012","3.1947299109"
"PRT","","ROAD","ALL","2011","31.1516548984605"
"PRT","","RAIL","ALL","2011","2.0720543622"
"ROU","","ROAD","ALL","2011","47.4026614640911"
"ROU","","ROAD","ALL","2012","34.1278122117133"
"ROU","","RAIL","ALL","2011","8.4694574939"
"ROU","","RAIL","ALL","2012","0.6043466746"
"SVK","","ROAD","ALL","2011","85.092846634061"
"SVK","","RAIL","ALL","2011","36.1086022544"
"SVN","","ROAD","ALL","2011","42.7791820500205"
"SVN","","RAIL","ALL","2011","3.3051519055"
"ESP","","ROAD","ALL","2011","53.3751697678739"
"ESP","","ROAD","ALL","2012","47.9146724682616"
"ESP","","RAIL","ALL","2011","0.187488231"
"ESP","","RAIL","ALL","2012","0.8725553973"
"SWE","","ROAD","ALL","2011","28.2267384429842"
"SWE","","ROAD","ALL","2012","26.0275904209067"
"SWE","","RAIL","ALL","2011",""
"SWE","","RAIL","ALL","2012","13.1019247491"
"CHE","","ROAD","ALL","2011","36.6981132075472"
"CHE","","ROAD","ALL","2012","39.8220676113596"
"CHE","","RAIL","ALL","2011","7.6849056604"
"CHE","","RAIL","ALL","2012","10.8774299175"
"GBR","","ROAD","ALL","2011","51.04260445224"
"GBR","","ROAD","ALL","2012","28.3853630279215"
"GBR","","RAIL","ALL","2011","2.3444842679"
"GBR","","RAIL","ALL","2012","2.1211499221"
